87	1410	 Confección de prendas de vestir, excepto prendas de piel 	 0.550	1
88	1420	 Fabricación de artículos de piel 	 0.550	1
89	1430	 Fabricación de artículos de punto y ganchillo 	 0.550	1
90	1511	" Curtido y recurtido de cueros; recurtido y teñido de pieles "	 0.550	1
91	1512	 Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería 	 0.550	1
92	1513	" Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales "	 0.550	1
93	1521	 Fabricación de calzado de cuero y piel, con cualquier tipo de suela 	 0.550	1
94	1522	 Fabricación de otros tipos de calzado, excepto calzado de cuero y piel 	 0.550	1
95	1523	 Fabricación de partes del calzado 	 0.550	1
96	1610	 Aserrado, acepillado e impregnación de la madera 	 0.550	1
97	1620	" Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles "	 0.550	1
98	1630	 Fabricacion de partes y piezas de madera, de carpinteria y ebanisteria para la construccion 	 0.550	1
99	1640	 Fabricación de recipientes de madera 	 0.550	1
100	1690	" Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería "	 0.550	1
101	1701	" Fabricación de pulpas (pastas) celulósicas; papel y cartón "	 0.550	1
102	1702	" Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón "	 0.550	1
103	1709	 Fabricación de otros artículos de papel y cartón 	 0.550	1
104	1811	 Actividades de impresión 	 0.550	1
105	1812	 Actividades de servicios relacionados con la impresión 	 0.550	1
106	1820	 Producción de copias a partir de grabaciones originales 	 0.550	1
107	1910	 Fabricación de productos de hornos de coque 	 0.550	1
108	1921	 Fabricación de productos de la refinación del petróleo 	 0.550	1
109	1922	 Actividad de mezcla de combustibles 	 0.550	1
110	2011	 Fabricación de sustancias y productos químicos básicos 	 0.550	1
111	2012	 Fabricación de abonos y compuestos inorgánicos nitrogenados 	 0.550	1
